Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form Of Contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,NDA/Pre Qualification,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Published Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI/PC/2023(MES College Queeny Nagar),2023_NHAI_146949_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,"40,000",NHAI,NEW DELHI,No,"3,68,00,000",No,fixed,NA,NHAI,NEW DELHI,Construction of 4 Lane Flyover from MES College Junction to Bogmalo Junction on NH566 from km 7.106 to km 10.460 and 4 Lane VUP at Queeny Nagar Junction from km 3.330 to km 4.550 on EPC Mode in the State of Goa.,Construction of 4 Lane Flyover from MES College Junction to Bogmalo Junction on NH566 from km 7.106 to km 10.460 and 4 Lane VUP at Queeny Nagar Junction from km 3.330 to km 4.550 on EPC Mode in the State of Goa.,Please refer Tender documents.,NA,"3,67,65,00,000",Civil Works,NA,Tender,120,730,NHAI HQ,110075,NA,NA,NA,NHAI HQ,No,No,25-Feb-2023 09:00 AM,11-Oct-2023 11:30 AM,25-Feb-2023 09:00 AM,10-Oct-2023 11:00 AM,NA,NA,25-Feb-2023 09:00 AM,10-Oct-2023 11:00 AM,ASHEESH KUMAR JAIN,NHAI HQ
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI Parwanoo Solan/ Slope Protection work/EPC/HP,2023_NHAI_146839_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,"20,000",NHAI HQ,NEW DELHI,No,"1,22,00,000",No,fixed,NA,NHAI HQ,NEW DELHI,Construction of Slope Protection Work at Various Locations on the Hillside between Km 67.000 to Km 106.139 of the Parwanoo Solan section of NH 22 (now NH 5) on EPC mode in Himachal Pradesh,Construction of Slope Protection Work at Various Locations on the Hillside between Km 67.000 to Km 106.139 of the Parwanoo Solan section of NH 22 (now NH 5) on EPC mode in Himachal Pradesh,Please refer Tender documents.,NA,"1,21,75,00,000",Civil Works,NA,Tender,120,548,NHAI HQ,110075,NA,NA,NA,NHAI HQ,No,No,24-Feb-2023 02:00 PM,27-Sep-2023 11:30 AM,24-Feb-2023 02:05 PM,26-Sep-2023 11:00 AM,NA,NA,24-Feb-2023 02:10 PM,26-Sep-2023 11:00 AM,P.N. Gawasane,NHAI HQ
National Highways Authority of India||RO-Patna - NHAI,172/NHAI/RO-PATNA/2022-23,2023_NHAI_146099_1,Yes,Open Tender,EPC Contract,Works,2,No,No,Offline,No,No,No,"10,000","NHAI, RO-Patna","NHAI, RO-Patna",No,"35,90,000",Yes,fixed,NA,"NHAI, RO-Patna","NHAI, RO-Patna",Removal of at-grade junction at Maker Bypass fork cross point towards Maker Bazaar on 2-laning with Paved shoulder of Chhapra Rewaghat Muzaffarpur section of NH 102 (New NH-722) in the State of Bihar.,Removal of at-grade junction at Maker Bypass fork cross point towards Maker Bazaar on 2-laning with Paved shoulder of Chhapra Rewaghat Muzaffarpur section of NH 102 (New NH-722) in the State of Bihar.,Please refer tender documents,NA,"35,89,00,000",Civil Works,NA,Tender,120,365,"NHAI, RO-Patna",800013,"NHAI, RO-Patna","Regional Office-Patna,
Classicon Shivmitra Apartment, Block B,
1st Floor, Vivekanand Marg, Boring Road, 
Patna -800013",16-Mar-2023 11:00 AM,"NHAI, RO-Patna",No,No,18-Feb-2023 12:15 PM,05-Oct-2023 01:30 PM,18-Feb-2023 12:20 PM,04-Oct-2023 11:00 AM,18-Feb-2023 12:25 PM,13-Mar-2023 06:00 PM,18-Feb-2023 12:30 PM,04-Oct-2023 11:00 AM,Awadhesh Kumar,"Regional Office-Patna,
Classicon Shivmitra Apartment, Block B,
1st Floor, Vivekanand Marg, Boring Road, 
Patna -800013"
National Highways Authority of India||RO-Patna - NHAI,171/NHAI/RO-PATNA/2022-23,2023_NHAI_145960_1,Yes,Open Tender,EPC Contract,Works,2,No,No,Offline,No,No,No,"10,000","NHAI, RO-Patna","NHAI, RO-Patna",No,"28,21,000",Yes,fixed,NA,"NHAI, RO-Patna","NHAI, RO-Patna",Removal of at-grade junction in Dighwara at Bheldi Amnaur State highway crossing at Bheldi on 2-laning with Paved shoulder of Chhapra Rewaghat Muzaffarpur section of NH 102 (New NH -722) in the State of Bihar on EPC Mode.,Removal of at-grade junction in Dighwara Bheldi Amnaur State highway crossing at Bheldi on 2-laning with Paved shoulder of Chhapra Rewaghat Muzaffarpur section of NH 102 (New NH -722) in the State of Bihar on EPC Mode.,Please refer tender documents,NA,"28,21,00,000",Civil Works,NA,Tender,120,365,"NHAI, RO-Patna",800013,"NHAI, RO-Patna","Regional Office - Patna,
Classicon Shivmitra Apartment, Block B,
1st Floor, Vivekanand Marg, Boring Road, 
Patna -800013",16-Mar-2023 11:00 AM,RO-Patna,No,No,17-Feb-2023 03:40 PM,05-Oct-2023 01:00 PM,17-Feb-2023 03:45 PM,04-Oct-2023 11:00 AM,17-Feb-2023 03:50 PM,13-Mar-2023 06:00 PM,17-Feb-2023 03:55 PM,04-Oct-2023 11:00 AM,Awadhesh Kumar,"Regional Office - Patna,
Classicon Shivmitra Apartment, Block B,
1st Floor, Vivekanand Marg, Boring Road, 
Patna -800013"
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI/KNT/STRR/Phase-II/ Pkg-1-3/IE/2023/191113,2023_NHAI_145897_1,Yes,Open Tender,Item Rate,Services,2,No,No,Offline,No,No,No,"5,000",NHAI,NEW DELHI,No,0.00,No,fixed,NA,Nil,Nil,CS for Independent Engine for Construction of STRR (West side) (I) Kunagal-Thattekere from km 79.0000-km112.600 with length of 33.6KM Pkg-1.(II)Bagganadoddi S.Mudugadapalli from km120.980-23.44KM in the state of Karnataka-TN on HAM under BMP Pkg-3,CS for Independent Engine for Construction of STRR (West side) (I) Kunagal-Thattekere from km 79.0000-km112.600 with length of 33.6KM Pkg-1.(II)Bagganadoddi S.Mudugadapalli from km120.980-23.44KM in the state of Karnataka-TN on HAM under BMP Pkg-3,Please refer Tender documents.,NA,0.00,Consultancy,NA,Tender,120,1460,NHAI HQ,110075,NA,NA,NA,NHAI HQ,No,No,17-Feb-2023 11:45 AM,13-Oct-2023 11:30 AM,17-Feb-2023 11:50 AM,12-Oct-2023 11:00 AM,NA,NA,17-Feb-2023 11:55 AM,12-Oct-2023 11:00 AM,SANDEEP AGRAWAL,"NHAI HQ
NEW DELHI-110075"
National Highways Authority of India||RO-Thiruvananthapuram - NHAI,11202/RO-Kerala/Tender -Contractor/0279,2023_NHAI_144891_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,"10,000","Regional Officer, NHAI","NHAI, RO-KERALA",No,"54,14,444",Yes,percentage,1.0%,"Regional Officer, NHAI","NHAI, RO-KERALA",Construction of Enchakkal Flyover at Ch.12.100 and Major Bridge at Ch.16.790 as part of four laning of existing Thiruvanathapuram Bypass from kazhakkoottam (Thiruvananthapuram) to Mukkola Junction of NH-47 from Km 0.000 to km 26.500 in the state of K,Construction of Enchakkal Flyover at Ch.12.100 and Major Bridge at Ch.16.790 as part of four laning of existing Thiruvanathapuram Bypass from kazhakkoottam (Thiruvananthapuram) to Mukkola Junction of NH-47 from Km 0.000 to km 26.500 in the state of K,Please refer Tender documents.,NA,"54,14,44,360",Civil Works - Roads,NA,Tender,120,540,Thiruvananthapuram,695024,NA,NA,NA,Thiruvananthapuram,No,No,09-Feb-2023 06:45 PM,20-Oct-2023 12:00 PM,09-Feb-2023 06:50 PM,19-Oct-2023 12:00 PM,NA,NA,09-Feb-2023 06:55 PM,19-Oct-2023 12:00 PM,"Regional Officer, NHAI","Regional Officer- Kerala, National Highways Authority of India
(Ministry of Road, Transport and Highways), T C 86/1036-1, Ambly Arcade, S.N.N.R.A-9, Pettah P.O. Thiruvananthapuram-695 024"
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI/KNT/STRR/2022/ Ph-II/Pkg-3/182998,2023_NHAI_144064_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,"60,000",NHAI,NEW DELHI,No,"5,24,00,000",No,fixed,NA,NHAI,NEW DELHI,Construction of STRR (West side) NH948A Bagganadoddi (Anekal Taluk) to S. Mudugadapalli (Hosur Taluk) from km 120.980 to km 144.420/144.170 (Design) Pkg3 in Karnataka-Tamil Nadu on HAM under Bharatmala Pariyojana (Pkg-3),Construction of STRR (West side) NH948A Bagganadoddi (Anekal Taluk) to S. Mudugadapalli (Hosur Taluk) from km 120.980 to km 144.420/144.170 (Design) Pkg3 in Karnataka-Tamil Nadu on HAM under Bharatmala Pariyojana (Pkg-3),Please refer Tender documents.,NA,"5,24,48,00,000",Civil Works,NA,Tender,120,730,NHAI HQ,110075,NA,NA,NA,NHAI HQ,No,No,03-Feb-2023 06:55 PM,27-Sep-2023 11:30 AM,03-Feb-2023 06:55 PM,26-Sep-2023 11:00 AM,NA,NA,03-Feb-2023 06:55 PM,26-Sep-2023 11:00 AM,SANDEEP AGRAWAL,NHAI HQ
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI/KNT/STRR/ Ph-II/Pkg-I/2022/182995,2023_NHAI_144056_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,"1,10,000",NHAI,NEW DELHI,No,"10,33,00,000",No,fixed,NA,NHAI,NEW DELHI,Construction of STRR (West side) NH948A Kunagal (Ramanagara Taluk) to Thattekere (Kanakapura Taluk) from km 79.000 to km 112.600 (Design) with length of 33.6KM in the state of Karnataka on HAM under Bharatmala Pariyojana (Pkg-1),Construction of STRR (West side) NH948A Kunagal (Ramanagara Taluk) to Thattekere (Kanakapura Taluk) from km 79.000 to km 112.600 (Design) with length of 33.6KM in the state of Karnataka on HAM under Bharatmala Pariyojana (Pkg-1),Please refer Tender documents.,NA,"10,33,38,00,000",Civil Works,NA,Tender,120,730,NHAI HQ,110075,NA,NA,NA,NHAI HQ,No,No,03-Feb-2023 06:30 PM,27-Sep-2023 11:30 AM,03-Feb-2023 06:30 PM,26-Sep-2023 11:00 AM,NA,NA,03-Feb-2023 06:30 PM,26-Sep-2023 11:00 AM,SANDEEP AGRAWAL,NHAI HQ
National Highways Authority of India||RO-Thiruvananthapuram - NHAI,11202/RO-Kerala/Tender -Contractor/0201,2023_NHAI_144023_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,"10,000","Regional Officer, RO-KERALA","NHAI, RO-KERALA",No,"4,01,607",No,percentage,1.0%,"Regional Officer, RO-KERALA","NHAI, RO-KERALA",Construction of 110 m length of RHS Service/slip road from Km. 248.820 to Km. 248.930 with Toe Wall/Retaining Wall on Service Road edge  on Palakkad approach (RHS side) to the LVUP at Km. 249.220 of NH-544 in the state of Kerala on EPC Mode-2nd Call,Construction of 110 m length of RHS Service/slip road from Km. 248.820 to Km. 248.930 with Toe Wall/Retaining Wall on Service Road edge  on Palakkad approach (RHS side) to the LVUP at Km. 249.220 of NH-544 in the state of Kerala on EPC Mode-2nd Call,Please refer Tender documents.,NA,"4,01,60,681",Civil Works - Roads,NA,Tender,120,180,Thiruvananthapuram,695024,NA,NA,NA,Thiruvananthapuram,No,No,03-Feb-2023 05:30 PM,29-Sep-2023 12:00 PM,03-Feb-2023 05:35 PM,28-Sep-2023 12:00 PM,NA,NA,03-Feb-2023 05:50 PM,28-Sep-2023 12:00 PM,Regional Officer,"Regional Officer- Kerala, National Highways Authority of India
(Ministry of Road, Transport and Highways), T C 86/1036-1, Ambly Arcade, S.N.N.R.A-9, Pettah P.O. Thiruvananthapuram-695 024"
National Highways Authority of India||RO-Nagpur - NHAI,NHAI/RO-NAG/TENDERS/2022-23/35,2023_NHAI_144016_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,"40,000",National Highways Authority of India,Nagpur,No,"3,61,00,000",No,fixed,NA,National Highways Authority of India,Nagpur,Balance works of Four laning  from Waranga (km. 253.700) to Mahagaon (km.320.580) Section of NH-361 in the state of Maharashtra under Bharatmala Pariyojna on EPC mode,Balance works of Four laning  from Waranga (km. 253.700) to Mahagaon (km.320.580) Section of NH-361 in the state of Maharashtra under Bharatmala Pariyojna on EPC mode,Please refer Tender documents.,NA,NA,Civil Works,NA,Tender,120,365,NHAI RO Nagpur,440001,NA,NA,NA,NHAI RO Nagpur,No,No,03-Feb-2023 04:35 PM,27-Sep-2023 12:00 PM,03-Feb-2023 04:40 PM,26-Sep-2023 11:00 AM,NA,NA,03-Feb-2023 05:30 PM,26-Sep-2023 11:00 AM,Prashant N. Pagrut,NHAI RO Nagpur
National Highways Authority of India||Head Office - NHAI,NHAI/UP(E)/PIU-RB/R-P(62.971)/ 2023/E-tender,2023_NHAI_143873_1,Yes,Open Tender,EPC Contract,Works,2,No,No,Offline,No,No,No,"1,10,000",NHAI,NEW DELHI,No,"10,60,00,000",No,fixed,NA,NHAI,NEW DELHI,Construction of 4Lane road section of NH-30 from km 82.650-83.880 km84.635-98.750 km103.660-km107.260 km111.390-115.425 km124.345-130.445 km133.155-161.450 of Link road from km 161-450-641.350 of Raebareli-Prayagraj section in UP on EPC mode,Construction of 4Lane road section of NH-30 from km 82.650-83.880 km84.635-98.750 km103.660-km107.260 km111.390-115.425 km124.345-130.445 km133.155-161.450 of Link road from km 161-450-641.350 of Raebareli-Prayagraj section in UP on EPC mode,Please refer Tender documents.,NA,"10,60,17,00,000",Civil Works,NA,Tender,120,730,NHAI HQ,110075,NA,NA,NA,NHAI HQ,No,No,02-Feb-2023 06:00 PM,04-Oct-2023 11:30 AM,02-Feb-2023 06:05 PM,03-Oct-2023 11:00 AM,NA,NA,02-Feb-2023 06:10 PM,03-Oct-2023 11:00 AM,HARISH SHARMA,"NHAI HQ
NEW DELHI-110075"
National Highways Authority of India||RO-Dehradun - NHAI,NHAI/Tech/UKD/BW/HN/2023,2023_NHAI_142253_1,Yes,Open Tender,Works,Works,2,No,No,Offline,No,No,No,"40,000",GM NHAI,NHAI,No,"3,85,00,000",Yes,fixed,NA,GM NHAI,NHAI,"RFP for Four laning of Left over work in between Km 0.000 to Km 0.133, Km 1.390 to Km.13.829, Km.17.100 to Km.26.077 and Km.27.490 to Km.71.651 Haridwar to Nagina section of NH-74 in the state of Uttarakhand and Uttar Pradesh on EPC mode - 2nd Call","RFP for Four laning of Left over work in between Km 0.000 to Km 0.133, Km 1.390 to Km.13.829, Km.17.100 to Km.26.077 and Km.27.490 to Km.71.651 Haridwar to Nagina section of NH-74 in the state of Uttarakhand and Uttar Pradesh on EPC mode - 2nd Call",Please refer Tender documents.,NA,"3,84,85,00,000",Civil Works,NA,Tender,120,365,Roorkee,247664,RO-Dehradun,"RO-Dehradun, NHAI, 58/37 Balbir Road",14-Feb-2023 11:35 PM,RO-Dehradun,No,No,19-Jan-2023 04:55 PM,27-Sep-2023 11:30 AM,19-Jan-2023 04:55 PM,26-Sep-2023 11:00 AM,19-Jan-2023 04:55 PM,18-Sep-2023 12:35 PM,19-Jan-2023 04:55 PM,26-Sep-2023 11:00 AM,C K Sinha,RO-Dehradun NHAI
National Highways Authority of India||Head Office - NHAI,NHAI/OD/CRRR /RG/2021/ efile 99212,2022_NHAI_139950_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,"1,40,000",NHAI HQ,NEW DELHI,No,"13,79,00,000",No,fixed,NA,NHAI HQ,NEW DELHI,Construction of new 6 lane Capital Region Ring Road from Rameswar(NH-16) to Gobindpur (NH-55) package-I from Km. 0.000 to Km. 40.700 in the State of Odisha under Bharatmala Pariyojna on Hybrid Annuity Mode.,Construction of new 6 lane Capital Region Ring Road from Rameswar(NH-16) to Gobindpur (NH-55) package-I from Km. 0.000 to Km. 40.700 in the State of Odisha under Bharatmala Pariyojna on Hybrid Annuity Mode.,Please refer Tender documents.,NA,"13,78,95,00,000",Civil Works,NA,Tender,120,910,NHAI HQ,110075,NA,NA,NA,NHAI HQ,No,No,30-Dec-2022 09:00 AM,22-Sep-2023 11:30 AM,30-Dec-2022 09:00 AM,21-Sep-2023 11:00 AM,NA,NA,30-Dec-2022 09:00 AM,21-Sep-2023 11:00 AM,P N GAWASANE,NHAI HQ
National Highways Authority of India||Head Office - NHAI,NHAI/NHDPIV/04 /OR/EPC/Flyover/ 2020/efile15619,2022_NHAI_139953_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,"20,000",NHAI HQ,NEW DELHI,No,"1,20,00,000",No,fixed,NA,NHAI HQ,NEW DELHI,Construction of 6lane flyover (Size40 Nos. of 25m Span x 6m Height) including RE Wall approaches with Flexible Pavement in the Elephant Corridor of Angul Sambalpur sec of NH42(New NH-55)at Km.202.533 on EPC Mode in Odisha,Construction of 6lane flyover (Size40 Nos. of 25m Span x 6m Height) including RE Wall approaches with Flexible Pavement in the Elephant Corridor of Angul Sambalpur sec of NH42(New NH-55)at Km.202.533 on EPC Mode in Odisha,Please refer Tender documents.,NA,"1,19,49,00,000",Civil Works,NA,Tender,120,910,NHAI HQ,110075,NA,NA,NA,NHAI HQ,No,No,30-Dec-2022 09:00 AM,22-Sep-2023 11:30 AM,30-Dec-2022 09:00 AM,21-Sep-2023 11:00 AM,NA,NA,30-Dec-2022 09:00 AM,21-Sep-2023 11:00 AM,P N GAWASANE,NHAI HQ
National Highways Authority of India||Head Office - NHAI,NHAI/OD/CRRR /RG/2021/efile 99212,2022_NHAI_139937_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,"1,50,000",NHAI HQ,NEW DELHI,No,"13,74,00,000",No,fixed,NA,NHAI HQ,NEW DELHI,Const of new 6lane Capital Region Ring Road from Rameswar (NH16)to Gobindpur (NH55) packageII from Design CH.40.700 to 70.995 (village Bilipada to Gobindpur) in Odisha under Bharatmala Pariyojna on Hybrid Annuity Mode.,Const of new 6lane Capital Region Ring Road from Rameswar (NH16)to Gobindpur (NH55) packageII from Design CH.40.700 to 70.995 (village Bilipada to Gobindpur) in Odisha under Bharatmala Pariyojna on Hybrid Annuity Mode.,Please refer Tender documents.,NA,"13,73,97,00,000",Civil Works,NA,Tender,120,910,NHAI HQ,110075,NA,NA,NA,NHAI HQ,No,No,29-Dec-2022 06:55 PM,22-Sep-2023 11:30 AM,29-Dec-2022 06:55 PM,21-Sep-2023 11:00 AM,NA,NA,29-Dec-2022 06:55 PM,21-Sep-2023 11:00 AM,P N GAWASANE,NHAI HQ
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI/12017/KL/Edamon -Kadam/2022-Proc,2022_NHAI_139486_1,Yes,Open Tender,Item Rate,Services,2,No,No,Offline,No,No,No,"5,000",NHAI HQ,NEW DELHI,No,0.00,No,fixed,NA,Nil,Nil,CS for IE of four-lane greenfield highway from Edamon (Design km 20.730/Existing km 38.000 of NH744) to Kadampattukonam near Paripally (Design km 59.347/ Existing km  517.567 of NH-66) in Kerala in HAM mode under BMP,CS for IE of four-lane greenfield highway from Edamon (Design km 20.730/Existing km 38.000 of NH744) to Kadampattukonam near Paripally (Design km 59.347/ Existing km  517.567 of NH-66) in Kerala in HAM mode under BMP,Please refer Tender documents.,NA,0.00,Consultancy,NA,Tender,120,1460,NHAI HQ,110075,NA,NA,NA,NHAI HQ,No,No,26-Dec-2022 04:00 PM,12-Oct-2023 11:30 AM,26-Dec-2022 04:05 PM,11-Oct-2023 11:00 AM,NA,NA,26-Dec-2022 04:10 PM,11-Oct-2023 11:00 AM,Rajneesh Kapoor,NHAI HQ
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI/Tech/MH/S-N-A-S (Pkg-IV)/2022,2022_NHAI_139380_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,"1,70,000",NHAI,NEW DELHI,No,"16,71,00,000",No,fixed,NA,NHAI,NEW DELHI,Six laning of Surat Nashik Ahmednagar Solapur MH-KNT Border Greenfield stretch Package-IV from km 107.000 (Ambegaon) to km 146.000 (Chehedi Khurdh) in the State of Maharashtra to be executed on Hybrid Annuity Mode under BMP,Six laning of Surat Nashik Ahmednagar Solapur MH-KNT Border Greenfield stretch Package-IV from km 107.000 (Ambegaon) to km 146.000 (Chehedi Khurdh) in the State of Maharashtra to be executed on Hybrid Annuity Mode under BMP,Please refer Tender documents.,NA,"16,71,43,00,000",Civil Works,NA,Tender,120,730,NHAI HQ,110075,NHAI HQ,NHAI HQ,18-Jan-2023 11:00 AM,NHAI HQ,No,No,23-Dec-2022 06:05 PM,21-Sep-2023 11:30 AM,23-Dec-2022 06:10 PM,20-Sep-2023 11:00 AM,NA,NA,23-Dec-2022 06:15 PM,20-Sep-2023 11:00 AM,ANOOP GAHRANA,"NHAI HQ
NEW DELHI-110075"
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI/Tech/MH/S-N-A-S (Pkg-V)/2022,2022_NHAI_139384_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,"1,80,000",NHAI,NEW DELHI,No,"17,29,00,000",No,fixed,NA,NHAI,NEW DELHI,Six laning of Surat Nashik Ahmednagar Solapur MH-KNT Border Greenfield stretch Package-V from Km.146.000 (Chehedi Khurdh) to Km.190.560 (Khandalwadi) in the state of Maharashtra to be executed on Hybrid Annuity Mode under BMP,Six laning of Surat Nashik Ahmednagar Solapur MH-KNT Border Greenfield stretch Package-V from Km.146.000 (Chehedi Khurdh) to Km.190.560 (Khandalwadi) in the state of Maharashtra to be executed on Hybrid Annuity Mode under BMP,Please refer Tender documents.,NA,"17,28,61,00,000",Civil Works,NA,Tender,120,730,NHAI HQ,110075,NHAI HQ,NHAI HQ,18-Jan-2023 11:00 AM,NHAI HQ,No,No,23-Dec-2022 06:05 PM,21-Sep-2023 11:30 AM,23-Dec-2022 06:10 PM,20-Sep-2023 11:00 AM,NA,NA,23-Dec-2022 06:15 PM,20-Sep-2023 11:00 AM,ANOOP GAHRANA,"NHAI HQ
NEW DELHI-110075"
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI/UP(E)/ PIU-RB/SAB/Etender,2022_NHAI_139344_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,"1,90,000",NHAI,NEW DELHI,No,"18,46,00,000",No,fixed,NA,NHAI,NEW DELHI,"Construction of 4/6 lane Southern Ayodhya Bypass from km. 5.000 to km. 37.172 (starting near km. 112.540, ending at km. 153.281 of NH27) of total length of 32.172 km. on HAM basis under NHDP Ph-VII in the state of Uttar Pradesh","Construction of 4/6 lane Southern Ayodhya Bypass from km. 5.000 to km. 37.172 (starting near km. 112.540, ending at km. 153.281 of NH27) of total length of 32.172 km. on HAM basis under NHDP Ph-VII in the state of Uttar Pradesh",Please refer Tender documents.,NA,"18,45,88,00,000",Civil Works,NA,Tender,120,912,NHAI HQ,110075,NA,NA,NA,NHAI HQ,No,No,23-Dec-2022 04:30 PM,21-Sep-2023 11:30 AM,23-Dec-2022 04:30 PM,20-Sep-2023 11:00 AM,NA,NA,23-Dec-2022 04:30 PM,20-Sep-2023 11:00 AM,HARISH SHARMA,NHAI HQ
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI/UP(E)/ PIU-RB/NAB/Etender,2022_NHAI_139329_1,Yes,Open Tender,Item Rate,Works,2,No,No,Offline,No,No,No,"1,80,000",NHAI,NEW DELHI,No,"17,24,00,000",No,fixed,NA,NHAI,NEW DELHI,Construction of 4/6 Lane Northern Ayodhya Bypass tot length 35.40 kms Part1 north of NH27 from 0.000 to 30.400 (Starting near 112.540 ending at 139.928 of NH27) and Part2 south of NH27 from 0.000 to 5.000 on HAM under NHDP Ph7 in Uttar Pradesh,Construction of 4/6 Lane Northern Ayodhya Bypass tot length 35.40 kms Part1 north of NH27 from 0.000 to 30.400 (Starting near 112.540 ending at 139.928 of NH27) and Part2 south of NH27 from 0.000 to 5.000 on HAM under NHDP Ph7 in Uttar Pradesh,Please refer Tender documents.,NA,"17,24,43,00,000",Civil Works,NA,Tender,120,912,NHAI HQ,110075,NA,NA,NA,NHAI HQ,No,No,23-Dec-2022 04:00 PM,21-Sep-2023 11:30 AM,23-Dec-2022 04:00 PM,20-Sep-2023 11:00 AM,NA,NA,23-Dec-2022 04:00 PM,20-Sep-2023 11:00 AM,HARISH SHARMA,NHAI HQ
National Highways Authority of India||Head Office - NHAI||Technical - NHAI,NHAI/13011/KL/IE/ MarutharoadEdathanattukara Pkg1n,2022_NHAI_138881_1,Yes,Open Tender,Item Rate,Services,2,No,No,Offline,No,No,No,"5,000",NHAI,NEW DELHI,No,0.00,No,fixed,NA,Nil,Nil,CS for IE for 4/6 laning of Marutharoad to Edathanattukara section of NH966 from Km. 0.000 to Km.61.440 (Design Length 61.279 Km) (Civil Package 1 n 2) in Kerala in HAM mode under Bharatmala Pariyojana.,CS for IE for 4/6 laning of Marutharoad to Edathanattukara section of NH966 from Km. 0.000 to Km.61.440 (Design Length 61.279 Km) (Civil Package 1 n 2) in Kerala in HAM mode under Bharatmala Pariyojana.,Please refer Tender documents.,NA,0.00,Consultancy,NA,Tender,120,1460,NHAI HQ,110075,NA,NA,NA,NHAI HQ,No,No,21-Dec-2022 09:00 AM,12-Oct-2023 11:30 AM,21-Dec-2022 09:00 AM,11-Oct-2023 11:00 AM,NA,NA,21-Dec-2022 09:00 AM,11-Oct-2023 11:00 AM,RAJNEESH KAPOOR,NHAI HQ
